epoch,train_loss,val_loss,val_auc,val_acc
1,0.606714,0.607859,0.761911,0.6663
2,0.591922,0.583361,0.764283,0.7037
3,0.585907,0.577091,0.768335,0.7083
4,0.581853,0.576748,0.772437,0.7035
5,0.580783,0.575022,0.773336,0.7083
6,0.578527,0.573453,0.772737,0.7083
7,0.577400,0.573405,0.773845,0.7112
8,0.576854,0.571196,0.774879,0.7119
9,0.575243,0.569636,0.776776,0.7100
10,0.574783,0.572159,0.774402,0.7097
11,0.572920,0.568604,0.778913,0.7132
12,0.572608,0.569001,0.779159,0.7095
13,0.571664,0.566386,0.779400,0.7150
14,0.571304,0.565952,0.779390,0.7146
15,0.569902,0.565277,0.780509,0.7124
16,0.569515,0.565420,0.780162,0.7150
17,0.568727,0.564827,0.781880,0.7167
18,0.567890,0.567604,0.779536,0.7125
19,0.567728,0.566045,0.781621,0.7175
20,0.566720,0.564023,0.781826,0.7153
21,0.566542,0.563367,0.783392,0.7177
22,0.565243,0.564669,0.783511,0.7168
23,0.565583,0.566425,0.780951,0.7124
24,0.564560,0.565101,0.780302,0.7158
25,0.564417,0.566645,0.781834,0.7140
26,0.563409,0.562797,0.784365,0.7202
27,0.562871,0.561981,0.783560,0.7190
28,0.561992,0.563371,0.784797,0.7177
29,0.562001,0.561958,0.784113,0.7208
30,0.561220,0.565048,0.783165,0.7182
